report_start_date,report_end_date,marketplace,advertiser_id,touchpoint,campaign_group_id,campaign_id,ad_group_id,keyword_id,keyword_text,match_type,target_id,audience_id,advertised_asin,sku_id,unique_users,journey_count,impressions,clicks,cost,assisted_converted_users,assisted_purchase_count,assisted_revenue,reported_purchases,reported_sales
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_AUDIO_2,AUD_LIFESTYLE_FITNESS,B0DEMOTRAILB,SKU_TRAIL_BLUE,187,191,191,0,3.82,60,69,5779.47,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG02,,,,TGT_DSP_AUDIO_1,AUD_IN_MARKET_RUNNING,B0DEMOPEG41W,SKU_PEG_WHITE,192,194,194,0,3.88,59,65,5531.2,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_DISPLAY_1,AUD_IN_MARKET_RUNNING,B0DEMOTRAILB,SKU_TRAIL_BLUE,220,222,222,0,2.22,72,81,7778.65,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG02,,,,TGT_DSP_DISPLAY_2,AUD_LIFESTYLE_FITNESS,B0DEMOVOMEROR,SKU_VOMERO_RED,216,221,221,0,2.21,78,86,8358.99,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_ONLINE_VIDEO_2,AUD_LIFESTYLE_FITNESS,B0DEMOPEG41B,SKU_PEG_BLACK,239,242,242,0,4.84,94,105,9585.07,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG02,,,,TGT_DSP_ONLINE_VIDEO_1,AUD_IN_MARKET_RUNNING,B0DEMOVOMEROR,SKU_VOMERO_RED,247,248,248,0,4.96,96,105,9746.56,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG01,,,,TGT_DSP_STREAMING_TV_1,AUD_IN_MARKET_RUNNING,B0DEMOPEG41B,SKU_PEG_BLACK,196,198,198,0,5.94,74,83,8184.82,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,CG_DEMO_001,C_DEMO_DSP,C_DEMO_DSP_AG02,,,,TGT_DSP_STREAMING_TV_2,AUD_LIFESTYLE_FITNESS,B0DEMOPEG41W,SKU_PEG_WHITE,199,200,200,0,6.0,82,90,8480.2,0,0.0
2026-01-01,2026-03-31,US,adv_demo_001,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG01,K_RUNNING_EXACT,running shoes,EXACT,TGT_SB_K_RUNNING_EXACT_EXACT,,B0DEMOTRAILB,SKU_TRAIL_BLUE,231,235,0,235,282.65,81,90,7210.99,32,2539.0
2026-01-01,2026-03-31,US,adv_demo_001,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CG_DEMO_001,C_DEMO_SB,C_DEMO_SB_AG02,K_DISCOVERY,new running shoe styles,BROAD,TGT_SB_K_DISCOVERY_BROAD,,B0DEMOPEG41W,SKU_PEG_WHITE,231,235,0,235,282.44,76,87,6872.56,30,2427.1
